albumCov,title,artistIdx,albumIdx,genreIdx,releasedAt,lyrics
https://cdnimg.melon.co.kr/cm2/album/images/106/98/778/10698778_20210831170000_500.jpg?6142940047f4b640cc53299a74fa6b44/melon/resize/282/quality/80/optimize,Until I Found You,Stephen Sanchez,Until I Found You,포크,2021.09.01,"Georgia, Wrap me up in all your...
I want ya', In my arms
Oh, let me hold ya'
I'll never let you go again, like I did
Oh I used to say
I would never fall in love again
until I found her
I said, I would never fall
unless it's you I fall into
I was lost within the darkness,
but then I found her
I found you
Georgia, Pulled me in, I asked to...
Love her, once again
You fell, I caught ya'
I'll never let you go again, like I did
Oh I used to say
I would never fall in love again
until I found her
I said, I would never fall
unless it's you I fall into
I was lost within the darkness,
but then I found her
I found you
I would never fall in love again
until I found her
I said, I would never fall
unless it's you I fall into
I was lost within the darkness,
but then I found her
I found you
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/114/16/948/11416948_20240214093505_500.jpg?0fb03ccda94e6a082493a3935bde7817/melon/resize/282/quality/80/optimize,IT'S YOU (feat. keshi),MAX,LOVE IN STEREO,POP,2024.02.16,"Mm-hmm, no-oh, yeah, yeah

It's you
Loving's so easy to do
Yeah, it's easy, baby
Oh, ooh-ooh
Think that I'm falling for you
Yeah, it's easy (You got to get a hold of yourself)

Another Sunday afternoon
And I'm still in bed with you
Nothing else I wanna do, no
Order from that place you like (You like)
We don't need to go outside (Outside)
Something 'bout you feels so right (Feels so right)

Can we stay like this forever?
White dress or whatever
I keep dreaming there's a somewhere
That we grow old together

It's you
Loving's so easy to do
Yeah, it's easy, baby
Oh, ooh-ooh
Think that I'm falling for you
Yeah, it's easy

I met you at the right time
See you and I'm still excited
Sittin' in that shirt of mine
A little big but I like it

Snacks in the late night
We don't need to do fine dining
Make love when the sunrise
Pillow talk in silence

Like this forever (Forever)
White dress or whatever
I keep dreaming there's a somewhere
That we grow old together
In a van or in a mansion
Raining but we're dancing
There's a billion people out there
I can't believe the chances

It's you
Loving's so easy to do (To do)
Yeah, it's easy, baby (Yeah)
Oh, ooh-ooh (Yeah-ooh, uh)
Think that I'm falling for you (For you, yeah)
Yeah, it's easy (Ooh)

Loving's so easy to do (Ooh, ooh, ooh)
Yeah, it's easy (It is easy)

펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/108/55/494/10855494_20220324161709_500.jpg?2a2f4c4534ce2b85cf97cb9cef369551/melon/resize/282/quality/80/optimize,UNDERSTAND,keshi,GABRIEL (Korean Special Edition),POP,2022.03.25,"Never thought that I'd find
That the one in my life
would be so near
And now you're here
I got you you got me
When it's us babe you
make me feel complete
You're all I need
Ooh ooh -ooh
Maybe we can try it if you let me
Take you by the hand
You're the only one
who understands
So I guess that it's time
I asked you to be mine
for all my days
I hope you'll stay
I'll admit that I'm scared
'Cause I've never really cared
as much as this
It's worth the risk
Ooh ooh-ooh
Maybe we can try it if you let me
Take you by the hand
You're the only one who understand
Ooh ooh-ooh
Ooh ooh-ooh
Maybe we can try it if you let me
Take you by the hand
You're the only one
who understands
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/109/81/202/10981202_20220613162421_500.jpg?41742bce5880d530006b5dd7918d034e/melon/resize/282/quality/80/optimize,stars,Arash Buana,stars,POP,2021.02.28,
https://cdnimg.melon.co.kr/cm2/album/images/112/34/519/11234519_20230428143905_500.jpg?9d216be667d36c7e65c859b07e8f336f/melon/resize/282/quality/80/optimize,Till There Was You,Imaginary Future,Till There Was You,POP,2023.05.02,
https://cdnimg.melon.co.kr/cm2/album/images/106/20/598/10620598_20210604220501_500.jpg?1a2e918e49d3cbc1c69401de53a3281f/melon/resize/282/quality/80/optimize,"Mozart : The Magic Flute K.620 Act.II - Queen Of The Night Aria 'Der Holle Rache' (모차르트 : 마술 피리 - 2막. 밤의 여왕의 아리아) (From ""Amadeus"")","Bulgarian National Radio Symphony Orchestra, John Landor, Rachel Rosales",Mozart in Film,"클래식, 교향/관현악",2020.12.25,
https://cdnimg.melon.co.kr/cm2/album/images/105/66/720/10566720_20210218164020_500.jpg?f8f5b160f3f06fd931a894c0469f8a8b/melon/resize/282/quality/80/optimize,What We Found,"Jesse Barrera, Nieman, Melissa Polinar",What We Found,R&B/Soul,2021.02.19,"Every page worn in
And the ink has faded
I remember your hands
Would write it out in cursive
Every detail memorized
Can recite every line
The pattern of the dress you wore
The color of your eyes
Everything just hits
All at once
Some things are worth chasing
If it’s what you want
Wont do this for nobody else
No
I’ll keep watch on what we built
I will
It never was perfect
But thats what we wanted
If one thing was certain
We took every moment
If this is the curtain
And it all comes crashing down
At least we had the world
in what we found
Play it in my head
And rewind it over
Say your name again
Just to feel you closer
Tell me what you want
And I’ll deliver
At least I’ll try my best
From the top of spring
and through the winter
I gave you everything
that I had left
It never was perfect
But thats what we wanted
If one thing was certain
We took every moment
If this is the curtain
And it all comes crashing down
At least we had the world
in what we found
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/111/98/028/11198028_20230307174446_500.jpg?02dcf376a758c2d5a99a42dfb2d195bc/melon/resize/282/quality/80/optimize,Real Love Still Exists,"헨리 (HENRY), Yuna",Real Love Still Exists,발라드,2023.03.08,"What you see when you look at me
An image of your past failed lovers
Don't fxxx this up before we begin
Baby if you're still holding on
Let it go
Burn the rope
You're the only one in this tug of war
Still, I love you even though
you make it hard for me
To show you I love you, I really do
Give me just a chance, one chance
Take you to the other side
Where ignorance is bliss
Where real love still exists
(hmmmm)
Where real love still exists
(hmmmm)
Tell me what you want me to say
If I'm not saying it anyway
Tell me how I need to prove this
Jump off a cliff to show you I care
Let it go
Burn the rope
You're the only one in this tug of war
Still, I love you even though
you make it hard for me
To show you I love you, I really do
Give me just a chance, one chance
Take you to the other side
Where ignorance is bliss
Where real love still exists
(hmmmm)
Where real love still exists
(hmmmm)
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/113/24/766/11324766_20230912172320_500.jpg?15e7c480f6c26bc27ed5f1506b72c13b/melon/resize/282/quality/80/optimize,Old Love (Stripped),"yuji, putri dahlia",Old Love (Stripped),POP,2022.10.20,
https://cdnimg.melon.co.kr/cm2/album/images/112/59/796/11259796_20230607124708_500.jpg?2d40aae0a2177f8bcaca1105598eaaa0/melon/resize/282/quality/80/optimize,Letters (Acoustic),Maximillian,Unplugged,POP,2023.06.09,"Same place but something's different
Yeah I noticed something's off
So fast I almost missed it
But it's too late and now you're gone

[Pre-Chorus]
I spilled another glass of wine
Killed the lights to pass the time
'Cause you're not here to ask me how I feel

[Chorus]
I still hope you read my letters
That they bring you peace at night
Even at our darkest hour
I know that we'll be alright

[Verse 2]
Makes no sense, I don't believe it
Is it true that thеy can just take you away
Walls were nеver made for freedom
And I'll break every single one to see your face

[Pre-Chorus]
And I will hold the hourglass
Counting every grain of sand
'Cause nothing feels the same until you're home

[Chorus]
I still hope you read my letters
That they bring you peace at night
Even at our darkest hour
I know that we'll be alright

[Bridge]
So many faces to remember
But yours is the only one I know
The one I believe in
The place I call home

[Outro]
I'll light a light for you tonight
Send out a prayer in my mind
'Cause I know we'll be alright
펼치기"
