단어,빈도
드라이브,484
맛,61
트렌디,560
세련된,137
알앤비,1005
국내,3406
힙합,2744
도입,1036
부,1011
그,339
시절,42
외힙,407
방해,12
온전,39
나,767
시간,290
좋은,3637
발라드,415
산책,238
날,731
적당히,137
신나는,558
두둠칫,94
모음,2411
외출,29
전,110
플리,546
적당한,106
비트,369
그루비,146
여유,403
하루,1115
나른한,413
봄,1155
여름,1331
사이,268
기분,1608
업,61
팝송,5878
아무,61
생각,215
싫을,31
때,1092
누,56
잔잔한,1155
음악,2870
극락,31
감성,2129
시작,364
오후,462
방법,237
잔잔하게,101
파도,50
소리,156
잔잔하고,60
무드있는,17
월요병,37
싹,32
햇살,288
이,1000
노래,1420
당신,282
항상,49
내,636
곁,10
있어주었죠,10
부모님,17
환장하는,70
사람,261
외국,278
종결,188
개쩌,89
뭐,328
감각,483
힙,342
화창한,110
주말,369
아침,511
해도,99
행복지수,11
미소,20
달달,321
흐트러진,11
마음,607
괜찮아,57
밤,1376
듣기,1378
미친,98
인생,429
곡,551
발견,176
그루브,250
가득한,304
봄바람,80
인디밴드,33
준형,11
심,11
애플,26
종일,117
다시,214
요즘,222
날씨,287
편안해지는,63
상쾌하고,109
행복한,113
분위기,710
있는,480
저녁,366
위,396
로맨틱,75
음색,543
여자,146
팝,1708
아티스트,210
비,435
카페,767
작업,75
퇴근,373
길,283
더,393
설레잖아,22
꼭,252
공기,306
머,15
금은,15
선선,478
편안한,245
퇴근길,176
마무리,161
너,1045
전하,130
스트레스,79
해소,12
걸그룹,12
플레이,1347
리스트,1791
왜,33
이제,20
모두,117
팝아티스트,31
톰,18
프라,9
띵곡,440
피크닉,189
따뜻한,393
향기,59
청량하고,45
달콤한,57
첫,250
호불호,104
없는,211
전환,279
하늘,229
듯,65
주인,504
최애,458
진짜,816
깡패,60
있다면,20
필요한,58
위로,436
좋게,182
신나고,43
전세계,22
사랑,433
찰리,22
푸스,22
명곡,111
오늘,739
뭔가,68
지고,13
질리,114
잔잔함과,15
위켄드,19
없죠,19
모든,188
난,18
만난,36
후,130
알,175
수,347
국힙,577
설렘,68
지수,50
연애,117
세포,66
산뜻한,324
어떄,15
포근한,259
방,337
구석,201
이불,155
취향,106
듬뿍,52
힘,57
일,86
노동요,131
공간,138
독보,107
파워,22
풀,31
남자,87
아이돌,55
편하게,158
어땠나요,30
삶,92
힘들고,61
있으면,51
언제,146
좋지만,19
겨울,639
여운,76
어쿠스틱,88
인디음악,275
기,106
해,272
가장,1013
인기,978
많았던,919
스타일,66
바로,122
어서,56
새해,101
일만,84
가득할거야,31
높이,12
달리,12
락,32
밴드,35
올해,672
설레는,229
연말,394
크리스마스,1121
캐롤,619
별,89
따뜻하게,62
새벽,313
꼬실려,10
저격,42
손해,34
좋아,356
포근하게,121
따뜻하고,44
행복하게,52
우리,732
좋아서,119
거,318
틀,95
옆,46
달라,16
선곡,305
끝,313
금방,21
지나,36
무조건,158
집중,86
필요할,152
뉴에이지,11
잠,157
오지,32
해지,46
몽환,43
사운드,266
가득,210
흔하지,16
없다,70
도시,231
많은,23
것,236
같아,47
서늘한,23
주,23
선물,102
청춘,57
공감,13
희망,13
경계,41
선,437
잔잔함이,20
편안함,39
청량한,176
일렉트로니카,16
번,90
이상,25
반복,79
즐거운,32
리드미컬하며,11
함,74
휴일,41
소소하지만,37
확실한,37
행복,180
자주,32
계절,194
가을,789
잔잔함,23
다음,10
생,10
짝사랑,10
아련한,42
느낌,263
물씬,87
시티,154
목소리,48
반하고,34
반하는,20
보컬,62
편안하고,35
매력,83
보이스,11
심장,41
경쾌한,123
한번,141
매년,28
주의,57
즐겁게,10
통통,21
초가을,38
바람,167
선선해진,52
더하다,22
모닝,83
동안,83
어디,165
혼자,159
힘들어하고,37
있을,68
분업,9
템포,29
일어나서,14
힐링,77
누가,48
도,53
최고,33
당당한,21
걸,58
크러쉬,21
내적,18
댄스,33
유발,32
중독,97
말,142
안해,13
속,521
멜로디,182
공허한,44
귓가,43
맴도,13
편안하게,123
여러분,77
좋아할,48
따뜻함에,18
휴식,46
향기로,14
네온,20
사인,20
거리,210
시원하게,87
은은한,20
자극,69
이런,152
어때,99
상쾌한,125
필수,141
시원한,466
드라이빙,19
뮤직,51
니,23
곳,106
라면,115
기억,206
완벽한,98
취하,155
사이먼,19
도미,19
닉,19
꿈,132
위해,83
청량,15
유,73
산소,73
헬스,64
전투력,68
상승,68
월요일,79
최신,23
바,247
갈래,38
고막,116
시원해지는,38
센치,32
비주,13
얼,13
멋짐,13
장착,13
거기,13
보이,14
그룹,13
정신,33
없던,19
외힙러들,32
그냥,238
매장,232
일부러,44
무더위,94
여름밤,120
힘들었던,48
우산,11
맑은,11
빗,67
본격,24
톡톡,14
서나,14
메이커,14
뭉글,36
구름,152
엄지,11
척,11
청량함의,14
머리,27
발끝,14
멍하니,18
달빛,44
시원함,15
반해,28
여행,110
서로,13
치기,15
아쉬운,15
슬픔,13
슬픈,34
이별,82
이야기,78
풋풋하고,13
싱그러운,67
있어,97
사기,67
매운,37
보름달,12
절,163
저장,85
순간,194
맥주,25
잔,85
매일,179
노을,389
붉은,19
캘리포니아,60
해변,92
아래,178
울적한,40
따슷하,34
마저,13
잔잔하니,13
좋을,49
사장,204
지금,286
멀티,116
라운지,112
만,27
비도,32
냄새,80
차분하게,14
좋기,14
많을,13
좋아하는,78
없겠지,13
뿌셔,11
리드미컬한,46
자기,14
포근하고,14
무언가,24
미쳐,98
준비,284
떄,16
꽃잎,12
복잡한,43
머릿속,65
스피커,54
볼륨,12
줄,137
조용히,43
시온,9
이어폰,71
첫사랑,13
풋풋함을,13
치명,67
매혹,18
네온사인,19
여기,226
새벽녘,15
방안,41
기타,11
제격,14
설레임,13
스푼,65
두,39
추천,169
장건,9
힘들더라도,33
