,제목,가수,곡명,이미지색감,색감비율
0,내 젊은날의 추억 그리고 현재,"Primary, pphk",Seat Belt  ,"[35, 180, 235]",51.743381076388886
1,내 젊은날의 추억 그리고 현재,"Primary, pphk",Seat Belt  ,"[19, 23, 23]",39.0283203125
2,내 젊은날의 추억 그리고 현재,"Primary, pphk",Seat Belt  ,"[75, 108, 125]",9.228298611111112
3,내 젊은날의 추억 그리고 현재,Naul,Sad Cafe  ,"[35, 180, 235]",51.74283854166667
4,내 젊은날의 추억 그리고 현재,Naul,Sad Cafe  ,"[19, 23, 23]",39.03179253472222
5,내 젊은날의 추억 그리고 현재,Naul,Sad Cafe  ,"[75, 108, 125]",9.225368923611112
6,내 젊은날의 추억 그리고 현재,Brown Eyed Soul,Candy  ,"[35, 180, 235]",51.743381076388886
7,내 젊은날의 추억 그리고 현재,Brown Eyed Soul,Candy  ,"[19, 23, 23]",39.0283203125
8,내 젊은날의 추억 그리고 현재,Brown Eyed Soul,Candy  ,"[75, 108, 125]",9.228298611111112
9,날씨 좋을 때마다 들어야지,The Regime,Sunny Day,"[209, 224, 227]",53.94194878472223
10,날씨 좋을 때마다 들어야지,The Regime,Sunny Day,"[32, 76, 38]",37.78233506944444
11,날씨 좋을 때마다 들어야지,The Regime,Sunny Day,"[78, 121, 97]",8.275716145833334
12,날씨 좋을 때마다 들어야지,Jalen Ngonda,If You Don't Want My Love,"[209, 224, 227]",53.94194878472223
13,날씨 좋을 때마다 들어야지,Jalen Ngonda,If You Don't Want My Love,"[32, 76, 38]",37.78233506944444
14,날씨 좋을 때마다 들어야지,Jalen Ngonda,If You Don't Want My Love,"[78, 121, 97]",8.275716145833334
15,날씨 좋을 때마다 들어야지,Mamas Gun,Good Love,"[209, 224, 227]",53.94194878472223
16,날씨 좋을 때마다 들어야지,Mamas Gun,Good Love,"[32, 76, 38]",37.78233506944444
17,날씨 좋을 때마다 들어야지,Mamas Gun,Good Love,"[78, 121, 97]",8.275716145833334
18,날씨 좋을 때마다 들어야지,Jalen Ngonda,Just Like You Used To,"[209, 224, 227]",53.94194878472223
19,날씨 좋을 때마다 들어야지,Jalen Ngonda,Just Like You Used To,"[32, 76, 38]",37.78233506944444
20,날씨 좋을 때마다 들어야지,Jalen Ngonda,Just Like You Used To,"[78, 121, 97]",8.275716145833334
21,날씨 좋을 때마다 들어야지,The Sextones,This Could Last Forever,"[209, 224, 227]",53.94194878472223
22,날씨 좋을 때마다 들어야지,The Sextones,This Could Last Forever,"[32, 76, 38]",37.78233506944444
23,날씨 좋을 때마다 들어야지,The Sextones,This Could Last Forever,"[78, 121, 97]",8.275716145833334
24,날씨 좋을 때마다 들어야지,The Regime,Never Gonna Stop,"[209, 224, 227]",53.94194878472223
25,날씨 좋을 때마다 들어야지,The Regime,Never Gonna Stop,"[32, 76, 38]",37.78233506944444
26,날씨 좋을 때마다 들어야지,The Regime,Never Gonna Stop,"[78, 121, 97]",8.275716145833334
27,날씨 좋을 때마다 들어야지,Mayer Hawthorne,The Walk,"[209, 224, 227]",53.94194878472223
28,날씨 좋을 때마다 들어야지,Mayer Hawthorne,The Walk,"[32, 76, 38]",37.78233506944444
29,날씨 좋을 때마다 들어야지,Mayer Hawthorne,The Walk,"[78, 121, 97]",8.275716145833334
30,날씨 좋을 때마다 들어야지,Mamas Gun,This Is The Day,"[209, 224, 227]",53.94194878472223
31,날씨 좋을 때마다 들어야지,Mamas Gun,This Is The Day,"[32, 76, 38]",37.78233506944444
32,날씨 좋을 때마다 들어야지,Mamas Gun,This Is The Day,"[78, 121, 97]",8.275716145833334
33,날씨 좋을 때마다 들어야지,Young Gun Silver Fox,Who Needs Words,"[209, 224, 227]",53.94194878472223
34,날씨 좋을 때마다 들어야지,Young Gun Silver Fox,Who Needs Words,"[32, 76, 38]",37.78233506944444
35,날씨 좋을 때마다 들어야지,Young Gun Silver Fox,Who Needs Words,"[78, 121, 97]",8.275716145833334
