단어,빈도
우리,198
수많은,28
공간,56
그때,28
사랑,424
있을까,28
그런,63
밤,104
생각,108
정리,25
필요한,87
오늘,79
가끔,62
너,422
인생,127
벅차,25
끊임없이,49
시련,125
그,138
속,148
마치,25
금방,25
것,229
같은,54
팽이,25
위태롭,25
버티고,25
있는지도,25
그래,25
파도,53
같아서,25
매몰,25
때로는,25
해일,25
깊은,25
절망,25
복판,26
때,164
있겠지,25
피,50
결코,25
수,278
없는,42
두려움,109
이내,25
발걸음,25
진정한,25
아니라,25
것임,25
안개,50
자욱한,25
길,131
주위,25
조심,25
걸음,50
또,139
어느새,25
아름다운,82
광경,25
선명히,51
분명히,25
알,38
있기에,25
태풍,25
자리,52
다시,46
새로운,66
생명,25
비,53
다시금,49
희망이,50
피어,50
좋겠다,63
소담,25
스레,25
지지,25
채,63
짙은,25
향기,25
마음껏,73
고막,233
날씨,51
좋은데,29
피크닉,59
셀,124
퓨전,124
영상,83
제공,59
이종범,31
작가,145
햇빛,341
좋지만,31
자외선,93
싫어,31
순간,209
케어,166
하자,31
지하방,31
잠깐,31
소중하지만,31
뜨거운,31
걱정,74
하루,97
종일,31
있는,93
사무실,31
비타민,31
충전,62
위해,68
산책,62
차단,47
필요하죠,31
누구,67
많다,31
연구소,31
좋은,149
플레이,318
리스트,318
준비,96
독자,190
댓글,150
이벤트,204
총,92
명,44
참여,88
방법,96
나,81
예,31
회사,31
점심시간,31
광합성,31
기간,48
오후,73
목,31
자정,31
당첨,58
발표,31
화,31
선정,31
여러분,68
있도록,92
제품,31
싫은데,32
노래,520
어서,59
온,125
그냥,27
그랬어,43
봄,95
사진,126
신현빈,31
영화,35
터널,25
선샤인,25
과,25
굿나잇,27
겨울,173
역시,86
올드,33
재즈,178
게스트,33
레이,33
미셸,102
들라크루아,102
파리,277
벨,34
포크,34
전시,255
초대,34
프랑스,34
대표,34
화가,34
의,87
탄생,34
주년,34
맞이,64
최대,34
규모,34
예술의전당,34
한가람,34
디자인,34
미술관,34
진행,78
이번,120
점,62
이상,51
리지,34
널,34
페인팅,34
가지,34
주제,34
고스,34
란,34
있는데요,34
통해,51
가야,34
꼭,45
분과,34
한국,58
관람객,34
전하,72
말,100
사람과,34
어떤지요,34
연인,34
친구,34
가족,34
볼,34
유튜브,34
인스타그램,156
인,34
매,34
티켓,51
선물,62
그림,87
여행,156
동심,34
잔뜩,34
포근한,34
따뜻한,96
해당,34
게시,95
물,95
작성,34
계정,34
꽉,66
크리스마스,78
스포티파이,54
초청,27
만날,27
소중한,73
마련,27
분,70
추첨,27
동반,27
인과,27
파티,27
책,175
한해,27
개별,27
인스타,30
곧,44
눈,66
언제,39
이,175
계절,27
콘텐츠,47
스킨,104
브랜드,93
연작,96
영감,24
제작,47
유료,47
광고,47
포함,63
있습니다,66
자연,72
작품,72
뜻,38
은,24
식물,24
자생,24
피부,124
전달,24
바탕,48
입니다,127
뿌리,24
줄기,24
꽃,96
전초,24
겹,24
가치,37
더해,24
건강한,24
자체,24
약속,38
꽃처럼,24
스스로,24
롯,24
자신,43
위,52
시간,113
공식,52
홈페이지,52
이름,25
왜케,11
가을,72
더,68
깊어져라,23
감성,94
가득,43
여름,186
정점,29
듣기,56
해도,56
시원해지는,29
출처,88
노을,42
바다,23
낭만,43
네,36
있어,27
다행,27
미온수,28
린다,28
기분,80
설레는,61
백화점,122
면세점,122
지금,113
평생,61
회원,61
가입,61
오프라인,61
멤버십,61
등급,61
업그레이드,61
기회,61
아주,37
잔잔히,24
서로,24
렁,24
선선,37
저녁,51
이런,110
어때,35
햇살,39
좋을,27
땐,27
잔잔하게,27
마음,102
위로,29
설렌다,29
이제,46
기운,25
도,25
내,77
몸,42
날,45
소개,23
전자,23
지원,23
사운드,46
바,46
신제품,46
런칭,23
기념,23
출시,23
특별,23
전,33
방문,51
네이버,23
수고,43
힐링,34
그대,24
앞,43
있고,24
사람,173
있지,24
좋아하고,24
그리워하세요,24
나태주,24
당신,80
어떤,54
있나요,27
헤어지자,17
부디,17
마지막,93
아름답게,36
기억,125
차,51
헤,68
딜러,68
제,40
값,17
어렵고,17
불편하던,17
기,17
혁신,17
앱,17
서비스,34
과정,17
점점,34
같습니다,17
모델,17
김혜수,17
소희,17
두,34
배우,34
캠페인,17
필름,17
변화,17
쿨한,17
감상,17
보시,38
가장,89
색,45
추억,19
쓰나미,19
고향,19
벚꽃,19
그리워한,19
노인,19
못,19
청년,19
의지,19
처음,19
선택,29
죽음,19
빛,38
여학생,19
시각장애인,19
세상,32
있었던,19
소녀,19
등,19
사신,19
저,29
영혼,19
책장,19
찬란한,19
애절한,19
무엇,19
설,22
레일,22
있잖아요,22
웨이즈,17
유,17
끝,30
더블유,54
윈저,54
잠시,76
여유,44
휴가,27
베이,252
지크,252
프리미엄,40
비건,56
바쁜,28
일상,28
작은,45
휴식,28
행복,38
커피,102
잔,28
베이지,28
연희동,28
첫,28
카페,84
플래그,28
스토어,28
를,56
오픈,56
무드,28
핵심,28
원료,28
그린,28
커피빈,28
나무,28
특별한,28
에너지,28
경험,28
위치,28
연희,28
층,28
평일,28
주말,40
절,1
크나큰,1
얘,27
간다,26
갈래,3
선셋,23
바이브,23
노력,18
나로,36
충분히,36
괜찮은,36
김재식,18
문장,18
연애,34
섹스,34
있지만,17
모두,17
절대,17
혼자,17
완성,38
없기에,17
더욱더,17
어렵게,17
기도,17
건,17
힘든,17
시대,17
그럼에도,17
불구,17
고,17
오직,17
인간,17
답,17
내일,17
기대하게,17
원동력,17
때문,17
청소년,17
관람,34
불가,17
세,27
가능,17
장소,17
라운드,17
시소,17
촌,17
서울시,17
종로구,17
자하문로,17
변동,17
가능성,17
있음,17
채널,46
대상,17
레드,17
룸,17
할인,17
행복하자,18
야경,38
적,20
없다,19
장마,16
걸,16
고요,14
때내,14
곁,14
있을게요,14
스코틀랜드,12
정통,12
수제,12
싱글,12
몰트,12
위스키,12
발,12
베니,12
새해,12
시작,22
술,12
음악,12
더욱,12
따뜻해지는,12
밤그,1
없음,1
취소,14
행복해진다,14
바람결,13
조용히,13
있던,29
성큼,1
만,13
어떨까,3
그럴지도,14
자극,13
조금,35
잔잔한,31
호수,13
나른한,18
한잔,18
같,18
선곡,48
괜찮아,18
여행가,12
좀,9
최애,10
어바웃타임,10
당장,10
주섬주섬,10
아침,12
따스한,12
침대,12
게으름,12
항상,16
거지,16
그런거야,11
그동안,11
평소,11
다르게,11
다양한,11
느낌,22
믹스,11
둘,11
좋아하시냐,13
구,13
혼,10
드림,10
딧,10
앨범,23
단단히,10
나머지,10
분위기,21
최대한,10
퇴근길,11
태식,10
달,30
성진,10
게,11
모든,11
곡,43
강박,11
변태,11
끼,11
발동,11
주,27
겨우,11
플리,11
랄,10
미완,10
성,20
커먼,26
데,10
듯,30
결과,10
만족,10
바람,11
타고,11
여름밤,11
자,10
슬슬,11
어디,14
없을까,14
안전벨트,9
출발,9
새벽,36
마냥,10
밀어내기,10
감미로운,10
우울,10
대하,10
애,10
그러길,10
그럴,11
같아,11
기존,16
업로드,42
많은,26
궁금해,16
중,29
저작권,16
취급,16
방식,16
변경,16
스트레스,16
고민,16
제외,16
번,16
업데이트,16
추가,16
재,16
문제,16
부분,16
전혀,16
없으니,16
급,11
요런,14
캐롤,28
아마,14
없을걸,14
