단어,빈도
팝송,5878
좋은,3637
국내,3406
음악,2870
힙합,2744
모음,2411
감성,2129
리스트,1791
팝,1708
기분,1608
노래,1420
듣기,1378
밤,1376
플레이,1347
여름,1331
잔잔한,1155
봄,1155
크리스마스,1121
하루,1115
때,1092
너,1045
도입,1036
가장,1013
부,1011
알앤비,1005
이,1000
인기,978
많았던,919
진짜,816
가을,789
카페,767
나,767
오늘,739
우리,732
날,731
분위기,710
올해,672
겨울,639
내,636
캐롤,619
마음,607
국힙,577
트렌디,560
신나는,558
곡,551
플리,546
음색,543
속,521
아침,511
주인,504
드라이브,484
감각,483
있는,480
선선,478
재즈,472
시원한,466
오후,462
최애,458
결산,442
띵곡,440
선,437
위로,436
비,435
사랑,433
인생,429
발라드,415
그루,414
나른한,413
특집,411
외힙,407
여유,403
위,396
연말,394
따뜻한,393
더,393
노을,389
퇴근,373
주말,369
비트,369
저녁,366
시작,364
좋아,356
브,351
수,347
힙,342
그,339
방,337
뭐,328
산뜻한,324
달달,321
거,318
새벽,313
끝,313
공기,306
선곡,305
가득한,304
안될,295
상반기,293
시간,290
일리,288
햇살,288
날씨,287
지금,286
준비,284
길,283
당신,282
전환,279
외국,278
인디음악,275
집,274
해,272
일상,272
사이,268
사운드,266
느낌,263
사람,261
포근한,259
데,258
가볍게,258
꼭,252
첫,250
그루브,250
바,247
편안한,245
그냥,238
산책,238
방법,237
것,236
매장,232
도시,231
설레는,229
하늘,229
파리,227
여기,226
같은,226
요즘,222
생각,215
다시,214
없는,211
아티스트,210
가득,210
거리,210
기억,206
사장,204
구석,201
계절,194
순간,194
상큼,192
피크닉,189
모든,188
종결,188
파티,186
안,184
멜로디,182
좋게,182
행복,180
매일,179
아래,178
발견,176
퇴근길,176
청량한,176
알,175
와인,170
추천,169
네,168
바람,167
어디,165
봄날,164
절,163
마무리,161
혼자,159
편하게,158
무조건,158
잠,157
소리,156
취하,155
이불,155
시티,154
구름,152
필요할,152
이런,152
귀,149
그루비,146
달짝,146
언제,146
지근,146
여자,146
눈,144
낭만,142
말,142
필수,141
한번,141
공간,138
적당히,137
세련된,137
줄,137
바다,135
볼,133
꿈,132
노동요,131
후,130
트로피,130
컬,130
전하,130
상쾌한,125
경쾌한,123
편안하게,123
중,123
바로,122
사,122
포근하게,121
여름밤,120
커피,119
좋아서,119
이쯤,118
모두,117
종일,117
연애,117
멀티,116
고막,116
라면,115
빛,114
질리,114
행복한,113
좋은데,112
라운지,112
펍,112
명곡,111
타고,111
여행,110
화창한,110
전,110
안녕,109
클럽,109
상쾌하고,109
좋겠어,108
텐션,107
독보,107
기,106
적당한,106
리듬,106
곳,106
취향,106
무드,105
렉팝,104
호불호,104
여름날,103
선물,102
잔잔하게,101
새해,101
랜선,100
하반기,100
그대,100
락페,100
덕분,100
행복했다,100
해도,99
어때,99
완벽한,98
로우,98
미친,98
빈티,98
미쳐,98
정도,98
온,97
중간,97
자세,97
있어,97
중독,97
편집,96
영화,96
슬슬,96
틀,95
두둠칫,94
무더위,94
탑,93
루프,93
삶,92
해변,92
요,92
바이브,91
폭발,90
레트로,90
가수,90
번,90
별,89
개쩌,89
저,89
충전,88
어쿠스틱,88
물씬,87
유튜브,87
시원하게,87
트렌딩,87
남자,87
집중,86
고맙도록,86
의,86
벌써,86
일,86
저장,85
잔,85
로,84
일만,84
맛집,84
파이,84
매력,83
동안,83
모닝,83
위해,83
브루클린,83
좋아하면,82
이별,82
따스한,81
하나,80
봄바람,80
냄새,80
월요일,79
스트레스,79
반복,79
이야기,78
좋아하는,78
힐링,77
사운드클라우드,77
여러분,77
여운,76
작업,75
새로운,75
핫,75
로맨틱,75
섹시,74
함,74
틴,74
클릭,74
산소,73
홈파티,73
좀,73
유,73
물든,72
바쁜,72
퍼펙트,72
미쳤다,71
올드,71
차,71
이어폰,71
다크,71
없다,70
리드미컬,70
환장하는,70
운동,69
자극,69
착하게,69
산타할아버지,69
무더운,69
완료,69
전투력,68
설렘,68
뭔가,68
상승,68
조용한,68
있을,68
작은,67
장인,67
빗,67
치명,67
휴가,67
스윙,67
싱그러운,67
사기,67
인디팝,66
세포,66
스타일,66
못,66
산뜻하게,66
열대야,65
머릿속,65
스푼,65
듯,65
가게,64
제,64
힙스터,64
장사,64
헬스,64
편안해지는,63
브팝,63
따뜻하게,62
위스키,62
보컬,62
맛,61
미,61
세련,61
평범한,61
아무,61
힘들고,61
문득,61
인트로,61
업,61
소울,61
친구,60
깡패,60
캘리포니아,60
잔잔하고,60
향기,59
총,59
책임,59
가면,59
나중,59
걸,58
필요한,58
힘,57
영혼,57
괜찮아,57
창문,57
활,57
피해,57
힙하,57
내적댄스,57
달콤한,57
청춘,57
주의,57
센치한,56
방황,56
누,56
어서,56
잠시,56
아이돌,55
화이트,55
레이,54
배,54
스피커,54
따슷,53
깄,53
광합성,53
기적,53
물속,53
부드럽고,53
초여름,53
도,53
시원하고,52
이태원,52
행복하게,52
약속,52
선선해진,52
듬뿍,52
보랏빛,51
만끽,51
있으면,51
뮤직,51
지수,50
편,50
캐치,50
에센셜,50
가족영화,50
여성,50
구역,50
엣헴,50
감,50
하이,50
스페셜,50
클래식,50
파도,50
감동,50
색다른,50
세대,49
관통,49
부터,49
불멸,49
틈,49
신한,49
갑자기,49
없어,49
폭,49
핑크,49
좋을,49
썸머,49
항상,49
어스름,49
벅찬,48
해방촌,48
누가,48
힘들었던,48
따뜻해,48
쩌,48
목소리,48
좋아할,48
향,47
같아,47
석양,47
좋잖아,47
옆,46
해지,46
휴식,46
리드미컬한,46
과,46
몸,45
테크,45
하우스,45
절제,45
개장,45
연주,45
공원,45
봄맞이,45
청량하고,45
한적한,44
금요일,44
가기,44
달빛,44
공허한,44
유영,44
썸,44
딥,44
기대하며,44
우린,44
휴양지,44
일부러,44
따뜻하고,44
토,44
운전,43
뿜뿜,43
귓가,43
주인공,43
좋아한다면,43
몽환,43
복잡한,43
마지막,43
조용히,43
보사노바,43
습기,43
신나고,43
뉴욕,42
아프로,42
시절,42
저격,42
창,42
아련한,42
은은하게,41
시즌,41
산뜻하고,41
회색,41
엄마,41
휴일,41
버스,41
방안,41
꽃,41
심장,41
경계,41
신곡,41
세상,41
콜렉션,41
밖,41
고생,40
광고,40
까딱,40
일렉트로,40
울적한,40
순,40
힙해짐,40
간다,40
낯선,39
소프트,39
시그널,39
하트,39
편안함,39
온전,39
추가,39
잠깐,39
두,39
부드러운,39
에스프레소,38
아름다운,38
초가을,38
돌이,38
시원해지는,38
핫플,38
순이,38
맞이,38
잠기,38
갈래,38
월요병,37
소소하지만,37
이건,37
매운,37
미국,37
부드럽게,37
자장가,37
호캉스,37
계속,37
힘들어하고,37
신나,37
확실한,37
조금,37
어느새,37
차가운,37
시끄럽지,36
국도,36
무엇,36
힘찬,36
차분하고,36
팝락,36
따스하고,36
어떤,36
소중한,36
만난,36
지나,36
홀로,36
진,36
필요해,36
보장,36
질,36
뭉글,36
뉴,35
편안하고,35
나른하게,35
밴드,35
건,35
복잡할,35
싱그럽고,34
정리,34
따슷하,34
물결,34
특별한,34
손해,34
반하고,34
미셸,34
슬픈,34
링,34
스케이트,34
들라크루아,34
러블리,33
색,33
펑크,33
인디밴드,33
최고,33
무기,33
춤,33
수고,33
레스토랑,33
지루해,33
십년,33
체증,33
해방,33
자유,33
왜,33
댄스,33
정신,33
힘들더라도,33
포기,33
쉿,33
흥겨운,32
뚝,32
불,32
싹,32
힘들,32
복잡하고,32
때로는,32
자주,32
유발,32
오지,32
즐거운,32
곧,32
센치,32
외힙러들,32
비도,32
싫어,32
락,32
탈때,32
싫을,31
캔맥,31
가득할거야,31
이쁜,31
감기,31
극락,31
술,31
타임,31
달,31
팝아티스트,31
타,31
강,31
창가,31
풀,31
불금,30
즈음,30
법,30
만점,30
디스코,30
묵직한,30
울,30
쨍,30
스타,30
도넛,30
강한,30
쉬,30
자꾸,30
베스트,30
독자,30
기쁨,30
세트,30
늦가을,30
낮맥,30
정류장,30
렉,30
산책길,30
브랜드,30
꿀렁,30
수영,30
훅,30
쿵쾅,30
선명하게,30
욕조,30
열정,30
토요일,30
가슴,30
어땠나요,30
아이유,30
지엄,30
외출,29
자,29
설렌다,29
정점,29
템포,29
또,29
저기,29
반해,28
파도처럼,28
마주,28
핫초코,28
둠칫,28
골목길,28
설렘지수,28
자리,28
발렌타인데이,28
온실,28
꿀꿀한,28
한강,28
따뜻했던,28
무수,28
내게로,28
매년,28
대한,28
단상,28
예감,28
수채화,28
꿀렁이,28
당고,27
고당,27
안도,27
만,27
설레이는,27
불빛,27
돗자리,27
존재,27
머리,27
블루투스,27
점철,27
처음,27
호강,27
귀로,27
좋구요,27
미치겠어요,27
비행,27
철수,27
에미넴,27
일로,27
잭,27
바이닐,27
세기,27
따스했던,27
꽃내음,26
그래,26
굿모닝,26
어깨,26
예쁜,26
펑키,26
짙게,26
제거,26
적막한,26
밍,26
잔디밭,26
댄서,26
나른해지는,26
를,26
불면,26
블,26
온통,26
젊음,26
토닥토닥,26
애플,26
짜릿한,25
선사,25
로맨스,25
망원동,25
이상,25
녀석,25
도파민,25
형님,25
쏙쏙,25
걱정,25
시리,25
뷰,25
집콕러들,25
만약,25
시린,25
캬캬캬,25
개도,25
콜,25
삽입,25
최면,25
출퇴근길,25
감독,25
광고음악,25
지루한,25
집시재즈,25
그릴,25
괜찮으시겠어요,25
인터라켄,25
마법,25
이름,25
놀이,25
있어요,25
세레나데,25
프렌치,25
광활한,25
초저녁,25
자연,25
채,25
상쾌하게,25
치도,25
사과,25
캠프,25
소복소복,25
나라,25
소소한,25
매우,25
맥주,25
마스크,25
뻔,25
롤러코스터,25
안될까,25
그림,25
맑음,25
부가,25
본격,24
지루한게,24
도로,24
싫다구,24
화이팅,24
꽃처럼,24
다시금,24
접수,24
해안,24
무언가,24
에이,24
블링블링,24
밋밋한,24
엉덩이,24
해진,24
나른하고,24
쿨,24
멜랑콜리,24
있지,24
제목,24
일출,24
벨벳,24
메리,24
취,24
편집숍,24
무렵,24
포근포근,24
없잖아,24
세련되고,24
오렌지,24
시끄러운,24
팔,24
결정,24
에메랄드,24
안성맞춤,24
체,24
축,24
서늘한,23
필요,23
아름다웠다,23
많은,23
피쳐링,23
꼬리,23
앞,23
몽글몽글해지는,23
조각,23
주,23
잔잔함,23
지하,23
청소,23
최신,23
나른함과,23
끈,23
니,23
완벽하게,23
공덕,23
오전,23
레모네이드,23
홍대,23
물기,23
설레어서,22
푸스,22
란,22
찰리,22
영감,22
추억,22
전세계,22
장남,22
그날,22
더하다,22
잔나비,22
실크,22
출연자,22
포,22
조작,22
파워,22
연남동,22
그리워질,22
설레잖아,22
소닉,22
폼,21
현실,21
있다고,21
기념,21
통통,21
순간이동,21
클렌징,21
고급,21
바다로,21
어프,21
세월,21
겉,21
취저,21
러브,21
신년,21
주년,21
재즈팝,21
금방,21
면서,21
불멍,21
당당한,21
들뜨잖아,21
비극,21
대송,21
신남,21
나란히,21
크러쉬,21
침,21
뜨겁게,21
검정치마,21
바닷가,21
캠핑장,21
반하는,20
밤하늘,20
네온,20
하얀,20
방울,20
있다면,20
잔잔함이,20
작고,20
평생,20
짝꿍,20
장난,20
우유,20
아니잖아,20
귀찮아서,20
소파,20
제대로,20
사인,20
생활,20
미학,20
독기,20
재밌는,20
때문,20
미소,20
더한,20
강렬한,20
번화가,20
바이러스,20
해피,20
남성,20
답답한,20
샤우팅,20
탄산,20
롸커들,20
성수동,20
칩거,20
추석,20
차안,20
도착,20
고개,20
로봇,20
쌀쌀한,20
미러볼,20
장바구니,20
건방져지는,20
은은한,20
센슈얼,20
이제,20
발랄,20
생기,20
브금,20
풋풋한,20
장난감,20
정말,20
무중력,19
테라스,19
소호,19
갓,19
추위,19
나들이,19
청량터,19
주제가,19
게임,19
옷장,19
헬스할,19
좋지만,19
없을걸,19
미라클,19
붉은,19
라드,19
뮤,19
러,19
마디,19
살,19
없던,19
있나요,19
뜨거웠던,19
없죠,19
책방,19
위켄드,19
사이먼,19
듀엣,19
미쳤,19
더운,19
네온사인,19
언니,19
드라이빙,19
도미,19
닉,19
화음,19
로그,18
인트,18
미드나잇,18
햇볕,18
러닝,18
샤워,18
구,18
비행기,18
어떻게,18
애,18
좋,18
말랑말랑한,18
브이,18
한여름,18
로움,18
에어컨,18
둠칫둠칫,18
따뜻함에,18
