단어,빈도
팝송,5878
좋은,3786
국내,3406
음악,2882
힙합,2744
모음,2424
감성,2223
리스트,2109
노래,1940
팝,1708
기분,1688
플레이,1665
여름,1517
밤,1480
너,1467
듣기,1434
때,1256
봄,1250
하루,1212
크리스마스,1199
잔잔한,1186
이,1175
가장,1102
도입,1036
부,1011
알앤비,1005
인기,978
우리,930
많았던,919
가을,861
사랑,857
카페,851
나,848
오늘,818
진짜,816
겨울,812
날,776
분위기,731
내,713
마음,709
올해,672
속,669
재즈,650
캐롤,647
수,625
곡,594
국힙,577
있는,573
트렌디,560
신나는,558
플리,557
인생,556
음색,543
오후,535
아침,523
선선,515
파리,504
주인,504
따뜻한,489
비,488
드라이브,484
감각,483
그,477
최애,468
시원한,466
것,465
위로,465
더,461
위,448
여유,447
결산,442
띵곡,440
선,437
사람,434
나른한,431
노을,431
저녁,417
발라드,415
그루,414
길,414
특집,411
주말,409
외힙,407
순간,403
시간,403
지금,399
연말,394
시작,386
준비,380
퇴근,373
비트,369
당신,362
좋아,356
선곡,353
브,351
새벽,349
고막,349
햇빛,347
끝,343
힙,342
날씨,338
방,337
방법,333
기억,331
뭐,328
햇살,327
산뜻한,324
생각,323
달달,321
거,318
가득한,317
사운드,312
공기,306
일상,300
산책,300
꼭,297
안될,295
바,293
상반기,293
포근한,293
설레는,290
일리,288
느낌,285
같은,280
전환,279
외국,278
첫,278
인디음악,275
집,274
해,272
데,268
사이,268
여행,266
그냥,265
이런,262
다시,260
가볍게,258
전시,255
가득,253
없는,253
베이,252
지크,252
그루브,250
피크닉,248
편안한,245
말,242
하늘,239
매장,232
도시,231
여기,226
온,222
요즘,222
계절,221
커피,221
독자,220
행복,218
알,213
파티,213
거리,210
눈,210
아티스트,210
이벤트,204
사장,204
네,204
전하,202
구석,201
모든,199
공간,194
상큼,192
아래,188
종결,188
퇴근길,187
청량한,186
언제,185
낭만,185
안,184
좋게,182
멜로디,182
어디,179
매일,179
바람,178
혼자,176
발견,176
책,175
의,173
와인,170
추천,169
또,168
볼,167
케어,166
봄날,164
선물,164
절,164
마무리,161
바다,158
무조건,158
편하게,158
잠,157
인스타그램,156
소리,156
취하,155
해도,155
이불,155
시티,154
필요할,152
구름,152
빛,152
중,152
위해,151
총,151
연애,151
충전,150
댓글,150
귀,149
종일,148
여자,146
지근,146
달짝,146
그루비,146
여러분,145
필요한,145
작가,145
전,143
새로운,141
한번,141
필수,141
좋은데,141
꽃,137
세련된,137
줄,137
적당히,137
마지막,136
미셸,136
들라크루아,136
사,135
어때,134
모두,134
셀,134
무드,133
잠시,132
꿈,132
영화,131
여름밤,131
노동요,131
컬,130
트로피,130
후,130
이번,129
잔잔하게,128
입니다,127
사진,126
시련,125
상쾌한,125
퓨전,124
피부,124
있어,124
그대,124
기,123
편안하게,123
브랜드,123
경쾌한,123
바로,122
백화점,122
타고,122
차,122
면세점,122
포근하게,121
유튜브,121
아름다운,120
좋아서,119
좋겠어,119
취향,119
이쯤,118
저,118
멀티,116
라면,115
어서,115
질리,114
바이브,114
잔,113
새해,113
행복한,113
작은,112
라운지,112
펍,112
그림,112
힐링,111
명곡,111
화창한,110
두려움,109
소중한,109
상쾌하고,109
클럽,109
안녕,109
슬슬,107
독보,107
텐션,107
적당한,106
번,106
곳,106
리듬,106
있도록,105
올드,104
렉팝,104
제,104
호불호,104
스킨,104
파도,103
여름날,103
맞이,102
역시,101
랜선,100
행복했다,100
락페,100
바쁜,100
하반기,100
덕분,100
걱정,99
정도,98
로우,98
미쳐,98
미친,98
완벽한,98
빈티,98
작업,98
중간,97
중독,97
자세,97
자연,97
편집,96
연작,96
듯,95
게시,95
물,95
스트레스,95
틀,95
무더위,94
휴가,94
친구,94
두둠칫,94
탑,93
루프,93
따스한,93
자외선,93
삶,92
해변,92
요,92
가수,90
약속,90
어떤,90
폭발,90
유,90
레트로,90
개쩌,89
없다,89
이별,89
별,89
채,88
출처,88
참여,88
어쿠스틱,88
레이,87
광고,87
트렌딩,87
몸,87
물씬,87
남자,87
시원하게,87
고맙도록,86
벌써,86
집중,86
일,86
못,85
저장,85
맛집,84
일만,84
광합성,84
로,84
향기,84
파이,84
영상,83
브루클린,83
동안,83
모닝,83
매력,83
를,82
좋아하면,82
좀,82
