curColor,curPer,curColor2,curPer2,curColor3,curPer3,curObject,curHead,curTitle,curExplain,curArtist
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Like I Do,,박재범
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Rewind,,VVON
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Westcoast Marriage,,Austn
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Unlock,,차다빈
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Beautiful,,basecamp
Black,50.38,Grey,22.21,Grey,9.42,"['바지', '시력 관리', '고글', '색안경', '검정색과 흰색', '플래시 사진', '스타일', '안경', '단색화', '흑백 사진']",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Need To Know,,박재범
Black,50.38,Grey,22.21,Grey,9.42,"['플래시 사진', '속눈썹', '몸짓', '마이크로폰', '스타일', '검정색과 흰색', '음악', '오디오 장비', '악기', '음악가']",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Without Me,,Eminem
Black,50.38,Grey,22.21,Grey,9.42,"['플래시 사진', '속눈썹', '몸짓', '마이크로폰', '스타일', '검정색과 흰색', '음악', '오디오 장비', '악기', '음악가']",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,This Is Why I'm Hot,,MIMS
Black,50.38,Grey,22.21,Grey,9.42,"['플래시 사진', '속눈썹', '몸짓', '마이크로폰', '스타일', '검정색과 흰색', '음악', '오디오 장비', '악기', '음악가']",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Who's That Girl?,,Eve
Black,39.46,Black,12.66,Pink,12.31,"['플래시 사진', '속눈썹', '몸짓', '마이크로폰', '스타일', '검정색과 흰색', '음악', '오디오 장비', '악기', '음악가']",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Shake That,,Eminem
