이미지,제목,벅스 링크
https://img.youtube.com/vi/3zZe_Ko4bbk/maxresdefault.jpg,[Playlist] 도입부가 요즘 날씨야... 너무 좋아...🤎 | 인트로부터 사로잡히는 그루브팝 | autumn groove pop 🤎,http://bugs.kr/!yt53988
https://img.youtube.com/vi/d9EdCgS1X_c/maxresdefault.jpg,[Playlist] 아침을 깨우는 산뜻한 봄날의 Lo-FiㅣLo-Fi on a fresh spring day,http://bugs.kr/!yt0101
https://img.youtube.com/vi/Mc0-EzZAd2I/maxresdefault.jpg,"[Playlist] 수영 못하면 돌아가주시죠,, 듣는 순간 빠져들테니깐!ㅣ스타일리쉬한 느낌의 매력만점 일렉팝 ㅣstylish electro pop songs",http://bugs.kr/!yt0044
https://img.youtube.com/vi/yYlw5prC-D0/maxresdefault.jpg,[Playlist] 파리 Cafe에 흐르는 봄날의 집시재즈ㅣgypsy jazz in french cafe,http://bugs.kr/!yt0203
https://img.youtube.com/vi/SkH7ZZPPYQs/maxresdefault.jpg,"[Playlist] 울적한 하루, 산뜻한 팝송으로 시작해요ㅣThis Playlist gonna make you feel better",http://bugs.kr/!yt0166
https://img.youtube.com/vi/OEZc_c7A7Ko/maxresdefault.jpg,"[Playlist] 아, 이 노래들은 진짜 알려주기 아까운데ㅣOh, I really don't want to tell you these songs",http://bugs.kr/!yt0111
https://img.youtube.com/vi/dYiT3Uebkn4/maxresdefault.jpg,[Playlist] 역시 믿듣탱💜 | 태연 노래 모음 | TAEYEON essential;,http://bugs.kr/!yt27641
https://img.youtube.com/vi/TfSqGfVqooc/maxresdefault.jpg,[Playlist] 해방촌 바이닐펍 바이브 🍻ㅣ레트로 + 트렌디 = 21세기 뉴 잭 스윙!ㅣtrendy retro music in vinyl pub,http://bugs.kr/!yt0218
https://img.youtube.com/vi/jakKbiX2L-Q/maxresdefault.jpg,"[Playlist] 봄볕이 드는 창가에 앉아 🕊 | 나른한 주말, 커피 한 잔과 함께하는 휴식 | cozy pop with coffee 🕊",http://bugs.kr/!yt57144
https://img.youtube.com/vi/Dj-de9sLNB0/maxresdefault.jpg,[Playlist] 슬슬 봄이 올 때가 됐는데? 🎈 | 달짝지근 기분 좋아지는 Daily Pop 16 | sweet spring pop 🎈,http://bugs.kr/!yt54069
https://img.youtube.com/vi/mrPw3D9Vjf0/maxresdefault.jpg,"[Playlist] 초록이 짙어지는 계절, 너와 함께 | 산뜻하고 부드러운 일상 BGM with Crush | afternoon cafe vibe",http://bugs.kr/!yt65233
https://img.youtube.com/vi/fJnOuwUqXDQ/maxresdefault.jpg,"[Playlist] 다시 새벽, 나른한 그 분위기에 취해 🍷ㅣLate night chillin 🍷",http://bugs.kr/!yt0167
https://img.youtube.com/vi/HR6RZmhxcUw/maxresdefault.jpg,"[Playlist] 토닥토닥, 달빛 아래 열대야 🌉ㅣ불면의 밤을 다독이는 COZY POP #4 ㅣCozy Pop for a Sleepless Night",http://bugs.kr/!yt0130
https://img.youtube.com/vi/8DRgFBd2_8E/maxresdefault.jpg,"[Playlist] 시간은 오후 3시 온도는 20도ㅣ20℃, 3 p.m.",http://bugs.kr/!yt0118
https://img.youtube.com/vi/YGX-Y4XngXc/maxresdefault.jpg,[Playlist] 소파와 한 몸이 되고 싶은 날 | 편안하게 듣기 좋은 일상 BGM | cozy day at home 🌿,http://bugs.kr/!yt57613
https://img.youtube.com/vi/-lXxbJTsxVQ/maxresdefault.jpg,[Playlist] 손끝으로 느껴지는 나른한 오후 | afternoon cozy pop,http://bugs.kr/!yt56551
https://img.youtube.com/vi/Tc0Z6A7xl7Y/maxresdefault.jpg,[Playlist] 하루를 끝내고 따뜻한 욕조 속으로ㅣ따스하고 그루브한 멜로우 R&B 플레이리스트ㅣmellow music for a smooth bath time,http://bugs.kr/!yt0032
https://img.youtube.com/vi/itXDhRsf9WA/maxresdefault.jpg,[Playlist] 오늘은 그냥 뒹굴거리면 안될까ㅣ🎨그림 그릴 때 듣는 음악 05ㅣBest songs to listen to while painting🎨,http://bugs.kr/!yt0185
https://img.youtube.com/vi/mI6ZOCbCOUE/maxresdefault.jpg,[Playlist] 듣자마자 66번국도에서 드라이브!ㅣDriving Route 66,http://bugs.kr/!yt0131
https://img.youtube.com/vi/yVqXMvohWek/maxresdefault.jpg,[Playlist] 얼어 죽어도 트로피컬!ㅣ시원하고 상큼한 이냉치냉 플레이리스트ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0055
https://img.youtube.com/vi/VNY8RU3YFjM/maxresdefault.jpg,[Playlist] 추운 겨울을 포근하게 🌨 | 겨울에 듣기 좋은 남성 발라드 | winter korean ballad,http://bugs.kr/!yt61234
https://img.youtube.com/vi/4BMZRqlCzZs/maxresdefault.jpg,[Playlist] 나의 PLAYLIST는 새벽 2시부터ㅣAM 2:00 Mood,http://bugs.kr/!yt0153
https://img.youtube.com/vi/iGQdfTXi-Ug/maxresdefault.jpg,[Playlist] 도넛 사러 갔다가 노래에 치임...ㅣ도넛샵에서 흘러나오는 키치한 멜로디ㅣdoughnut shop playlist 🍩,http://bugs.kr/!yt0262
https://img.youtube.com/vi/qaypqpYPJvk/maxresdefault.jpg,"[Playlist] 적막한 밤 빗소리와 함께ㅣ비 오는 날, 감성에 젖고 싶다면ㅣrainy day with relaxing jazz music 🛋️",http://bugs.kr/!yt0234
https://img.youtube.com/vi/WSZOckFU8U8/maxresdefault.jpg,[Playlist] 호캉스 갈 때 무조건 챙겨야하는 팝송추천ㅣ경쾌하고 세련된 팝송 모음,http://bugs.kr/!yt0013
https://img.youtube.com/vi/_haKaOd1_zg/maxresdefault.jpg,"[Playlist] 로파이, 커피 한 잔의 여유 ☕ㅣcoffee & cigarette, chillax bgm",http://bugs.kr/!yt0216
