이미지,제목,설명,가수,곡명
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Arash Buana,stars
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",Tangled Up (Reimagined)
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Sneha, ConTejas",So This Is Love
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,John K,magic
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",What We Found
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,hongjoin,you left your baggage
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"HENRY, Yuna",Real Love Still Exists
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"yuji, putri dahlia",Old Love (Stripped)
