이미지,제목,설명,가수,곡명,이미지객체,이미지색감
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Arash Buana,stars,person,"{'color': array([ 7, 10, 13]), 'percentage': 53.56597222222222}"
