이미지,제목,설명,가수,곡명,이미지객체,이미지색감,색감비율
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Stephen Sanchez,Until I Found You,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"[7, 10, 13]",53.58745659722223
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"MAX, keshi",IT'S YOU,person,"[18, 50, 83]",13.557834201388888
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,keshi,UNDERSTAND,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Arash Buana,stars,person,"[7, 10, 13]",53.589518229166664
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Arash Buana,stars,person,"[83, 138, 161]",32.853841145833336
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Arash Buana,stars,person,"[18, 50, 83]",13.556640625
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",Tangled Up (Reimagined),person,"[7, 10, 13]",53.56597222222222
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",Tangled Up (Reimagined),person,"[83, 138, 161]",32.85687934027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Jesse Barrera, Nieman, Melissa Polinar",Tangled Up (Reimagined),person,"[18, 50, 83]",13.5771484375
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Sneha, ConTejas",So This Is Love,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Sneha, ConTejas",So This Is Love,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"Sneha, ConTejas",So This Is Love,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Imaginary Future,Till There Was You,person,"[18, 50, 83]",13.557942708333334
