curColor,curPer,curColor2,curPer2,curColor3,curPer3,curObject,curHead,curTitle,curExplain,curArtist,song,genre
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Like I Do,,박재범,박재범 - Like I Do,R&B
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Rewind,,VVON,VVON - Rewind,R&B
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Westcoast Marriage,,Austn,Austn - Westcoast Marriage,R&B
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Unlock,,차다빈,차다빈 - Unlock,R&B
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Beautiful,,basecamp,basecamp - Beautiful,R&B
Black,50.38,Grey,22.21,Grey,9.42,바지 시력 관리 고글 색안경 검정색과 흰색 플래시 사진 스타일 안경 단색화 흑백 사진,드라이브 맛 트렌디 세련된 알앤비 국내 힙합,Need To Know,,박재범,박재범 - Need To Know,R&B
Black,50.38,Grey,22.21,Grey,9.42,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,Without Me,,Eminem,Eminem - Without Me,랩/힙합
Black,50.38,Grey,22.21,Grey,9.42,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,This Is Why I'm Hot,,MIMS,MIMS - This Is Why I'm Hot,랩/힙합
Black,50.38,Grey,22.21,Grey,9.42,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,Who's That Girl?,,Eve,Eve - Who's That Girl?,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,Shake That,,Eminem,Eminem - Shake That,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,Walk It Out,,Unk,Unk - Walk It Out,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,2 Step,,Unk,Unk - 2 Step,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 속눈썹 몸짓 마이크로폰 스타일 검정색과 흰색 음악 오디오 장비 악기 음악가,도입 부 시절 외힙,I Can,,Nas,Nas - I Can,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,밤수성,,새벽공방,새벽공방 - 밤수성,인디
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,No One Told Me Why,,알레프,알레프 - No One Told Me Why,인디
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,스타티스  ),,서영,서영 - 스타티스  ),재즈
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,푸르름,,연풀,연풀 - 푸르름,인디
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,아닌데,,정아로,정아로 - 아닌데,발라드
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,은하수,,다람,다람 - 은하수,재즈
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,시차,,모트,모트 - 시차,R&B
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,찰칵,,김솔,김솔 - 찰칵,인디
Black,39.46,Black,12.66,Pink,12.31,식물 플래시 사진 자연 속의 사람들 나뭇가지 자연 경관 행복하다 햇빛 잔디 대기 현상 해돋이,방해 온전 한나 시간 좋은 국내 발라드,시차,,백아,백아 - 시차,인디
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,웃어넘기기엔 너무 사랑했던 너라,,도유카,도유카 - 웃어넘기기엔 너무 사랑했던 너라,발라드
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,Rewind,,VVON,VVON - Rewind,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,Why,,박재범,박재범 - Why,댄스
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,곁에 있어줘,,SOLE,SOLE - 곁에 있어줘,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,bebe,,도유카,도유카 - bebe,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,SKIT,,Slom,Slom - SKIT,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,Unlock,,차다빈,차다빈 - Unlock,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,술래잡기,,JAEHA,JAEHA - 술래잡기,R&B
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,낙서,,펀치넬로,펀치넬로 - 낙서,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,플래시 사진 하늘 검정색과 흰색 폰트 유아 행복하다 흑백 사진 여행하다 단색화 트러스교,산책 좋은 날 적당히 신나는두 칫 국내 힙합 알앤비 모음,안 아름답고도 안 아프구나,,원슈타인,원슈타인 - 안 아름답고도 안 아프구나,R&B
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,Like I Do,,박재범,박재범 - Like I Do,R&B
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,SUMMERIDE,,박재범,박재범 - SUMMERIDE,R&B
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,party,,식케이,식케이 - party,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,Is It Love?,,식케이,식케이 - Is It Love?,R&B
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,Unlock,,차다빈,차다빈 - Unlock,R&B
Black,39.46,Black,12.66,Pink,12.31,후드 자동차 타이어 자동차 조명 검은색 자동차 자동차 디자인 헤드램프 자동차 외장 자동차 휠 시스템 가장자리,외출 플리 적당한 비트 그루비 국내 알앤비 힙합,Exotic & Toxic,,식케이,식케이 - Exotic & Toxic,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,Stay Beautiful,,JAMIE,JAMIE - Stay Beautiful,R&B
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,웃어넘기기엔 너무 사랑했던 너라,,도유카,도유카 - 웃어넘기기엔 너무 사랑했던 너라,발라드
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,Why,,박재범,박재범 - Why,댄스
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,Unlock,,차다빈,차다빈 - Unlock,R&B
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,That Body,,YSAP,YSAP - That Body,R&B
Black,39.46,Black,12.66,Pink,12.31,의류 인간 구름 드레스 플래시 사진 패션 서 있는 하늘 자동차 디자인 몸짓,여유 하루 트렌디 나른한 국내 알앤비 힙합 모음,Down,,장한나,장한나 - Down,R&B
Black,39.46,Black,12.66,Pink,12.31,하늘 물 식물 생태지역 자연 경관 초목 육상 식물 나무 구름 잔디,봄 여름 사이 분업 팝송 모음,"she likes spring, I prefer winter",,slchld,"slchld - she likes spring, I prefer winter",R&B
Black,39.46,Black,12.66,Pink,12.31,하늘 물 식물 생태지역 자연 경관 초목 육상 식물 나무 구름 잔디,봄 여름 사이 분업 팝송 모음,Love U Like That,,Lauv,Lauv - Love U Like That,POP
Black,39.46,Black,12.66,Pink,12.31,하늘 물 식물 생태지역 자연 경관 초목 육상 식물 나무 구름 잔디,봄 여름 사이 분업 팝송 모음,Good Day,,Surfaces,Surfaces - Good Day,POP
