curColor,curPer,curColor2,curPer2,curColor3,curPer3,curObject,curHead,curTitle,curExplain,curArtist,genre
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Like I Do,,박재범,R&B
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Rewind,,VVON,R&B
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Westcoast Marriage,,Austn,R&B
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Unlock,,차다빈,R&B
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Beautiful,,basecamp,R&B
Black,50.38,Grey,22.21,Grey,9.42,"바지, 시력 관리, 고글, 색안경, 검정색과 흰색, 플래시 사진, 스타일, 안경, 단색화, 흑백 사진",드라이브할맛나게하는트렌디하고세련된알앤비국내힙합ㅣR&BHipHop,Need To Know,,박재범,R&B
Black,50.38,Grey,22.21,Grey,9.42,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Without Me,,Eminem,랩/힙합
Black,50.38,Grey,22.21,Grey,9.42,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,This Is Why I'm Hot,,MIMS,랩/힙합
Black,50.38,Grey,22.21,Grey,9.42,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Who's That Girl?,,Eve,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Shake That,,Eminem,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,Walk It Out,,Unk,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,2 Step,,Unk,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,"플래시 사진, 속눈썹, 몸짓, 마이크로폰, 스타일, 검정색과 흰색, 음악, 오디오 장비, 악기, 음악가",도입부부터씹어먹던그시절외힙00? ~ 10?  ㅣ00~10HIP-POPMIX,I Can,,Nas,랩/힙합
Black,39.46,Black,12.66,Pink,12.31,"식물, 플래시 사진, 자연 속의 사람들, 나뭇가지, 자연 경관, 행복하다, 햇빛, 잔디, 대기 현상, 해돋이",방해받지않는온전한나의시간에틀어놓기좋은국내&인디발라드,밤수성,,새벽공방,인디
Black,39.46,Black,12.66,Pink,12.31,"식물, 플래시 사진, 자연 속의 사람들, 나뭇가지, 자연 경관, 행복하다, 햇빛, 잔디, 대기 현상, 해돋이",방해받지않는온전한나의시간에틀어놓기좋은국내&인디발라드,No One Told Me Why,,알레프,인디
Black,39.46,Black,12.66,Pink,12.31,"식물, 플래시 사진, 자연 속의 사람들, 나뭇가지, 자연 경관, 행복하다, 햇빛, 잔디, 대기 현상, 해돋이",방해받지않는온전한나의시간에틀어놓기좋은국내&인디발라드,스타티스  ),,서영,재즈
Black,39.46,Black,12.66,Pink,12.31,"식물, 플래시 사진, 자연 속의 사람들, 나뭇가지, 자연 경관, 행복하다, 햇빛, 잔디, 대기 현상, 해돋이",방해받지않는온전한나의시간에틀어놓기좋은국내&인디발라드,푸르름,,연풀,인디
Black,39.46,Black,12.66,Pink,12.31,"식물, 플래시 사진, 자연 속의 사람들, 나뭇가지, 자연 경관, 행복하다, 햇빛, 잔디, 대기 현상, 해돋이",방해받지않는온전한나의시간에틀어놓기좋은국내&인디발라드,아닌데,,정아로,발라드
