,Unnamed: 0,이미지,제목,가수,곡명,이미지색감,색감비율
30436,30436,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Wafia,Pick Me,"[189, 189, 189]",32.022677951388886
30439,30439,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,"SZA, Justin Timberlake",The Other Side,"[188, 188, 188]",32.812174479166664
30442,30442,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Justin Bieber,Running Over  ,"[188, 188, 188]",32.812174479166664
30445,30445,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Mina Okabe,Every Second ,"[189, 189, 189]",32.022677951388886
30448,30448,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Joel Blackmon,Morning ,"[188, 188, 188]",32.812174479166664
30451,30451,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Audrey Mika,Excuses ,"[188, 188, 188]",32.812174479166664
30454,30454,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Chris James,No Coffee,"[188, 188, 188]",32.812174479166664
30457,30457,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Anthony Russo,I Jusswon,"[189, 189, 189]",32.022677951388886
30460,30460,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Jeremy Zucker,supercuts  ,"[187, 187, 187]",34.74815538194444
30463,30463,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Devin Kennedy,Something Bout That Feeling,"[189, 189, 189]",32.022677951388886
30466,30466,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Valley,homebody ,"[188, 188, 188]",33.66644965277778
30469,30469,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,John K,shadows,"[188, 188, 188]",32.812174479166664
30472,30472,img.youtube.com/vi/HcxX_Ae7hTA/maxresdefault.jpg,나른한 주말 오전에 듣기 좋은 팝송,Valley,Oh shit...are we in love?,"[187, 187, 187]",34.74815538194444
30475,30475,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,━━━━━━━━●─── 현서,"안아주라, 있어주라  ","[96, 94, 96]",26.360134548611114
30478,30478,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,너의 불행마저도 ,"[96, 94, 96]",26.360134548611114
30481,30481,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,먹구름 ,"[96, 94, 96]",26.360134548611114
30484,30484,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,Try gonna fix you,"[96, 94, 96]",26.360134548611114
30487,30487,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,또 다시 너에게로  ,"[96, 94, 96]",26.360134548611114
30490,30490,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,첫 눈이 오면  ,"[96, 94, 96]",26.360134548611114
30493,30493,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,하나둘씩  ,"[96, 94, 96]",26.360134548611114
30496,30496,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,Romeo and Juliet  ,"[97, 95, 96]",26.59722222222222
30499,30499,img.youtube.com/vi/xOi3AeuEJ74/maxresdefault.jpg,나의 새벽 감성을 훔치는 감성 힙합,현서,데리러 갈게,"[97, 95, 96]",26.59722222222222
30502,30502,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,키썸,사실 누군가 날 감싸 안아 주길 원해  ,"[29, 29, 29]",26.366970486111114
30505,30505,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,기리보이,눈이 오던 날   ,"[29, 29, 29]",26.366970486111114
30508,30508,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,레디,바뻐  ,"[29, 29, 29]",26.366970486111114
30511,30511,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,GEMINI,UFO   ,"[29, 29, 29]",26.366970486111114
30514,30514,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,SOLE,곁에 있어줘   ,"[29, 29, 29]",26.366970486111114
30517,30517,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,TOIL,눌러줘요 ,"[29, 29, 29]",26.366970486111114
30520,30520,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,릴러말즈,OUT OF MY SIGHT,"[29, 29, 29]",26.366970486111114
30523,30523,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,Sweet The Kid,봄이 오면  ,"[29, 29, 29]",26.366970486111114
30526,30526,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,Kid Wine,있어주라 ,"[29, 29, 29]",26.366970486111114
30529,30529,img.youtube.com/vi/3C6om7c6neY/maxresdefault.jpg,오늘 하루 위로가 필요할 때 듣기 좋은 국내 감성 힙합,pH-1,비싸,"[29, 29, 29]",26.366970486111114
30532,30532,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,━━━━━━━━●─── Ironic,Come Back Home,"[50, 50, 50]",32.50390625
30535,30535,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,박진오,순환,"[50, 50, 50]",32.50390625
30538,30538,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,DEUL,BED,"[50, 50, 50]",32.50390625
30541,30541,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,Jent,Become Stupid,"[50, 50, 50]",32.50390625
30544,30544,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,Marxh,맘대로 해,"[50, 50, 50]",32.50390625
30547,30547,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,Loxx Punkman,INTP ,"[50, 50, 50]",32.50390625
30550,30550,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,리릭 코이트리,어떤 새벽,"[50, 50, 50]",32.50390625
30553,30553,img.youtube.com/vi/D3f03vlq4kE/maxresdefault.jpg,조용한 밤에 들으면 분위기 있는 노래 & 국내음악,최청규,돌아와줘,"[50, 50, 50]",32.50390625
30556,30556,img.youtube.com/vi/H_PviUp5j3w/maxresdefault.jpg,주인장이 최애하는 진짜 좋은 팝송 리스트 # 8,Troye Sivan,Angel Baby. ,"[94, 78, 25]",30.808268229166668
30559,30559,img.youtube.com/vi/H_PviUp5j3w/maxresdefault.jpg,주인장이 최애하는 진짜 좋은 팝송 리스트 # 8,RAFA,catching feelings   ,"[94, 78, 25]",30.808268229166668
