albumCov,title,artistIdx,albumIdx,genreIdx,releasedAt,lyrics
https://cdnimg.melon.co.kr/cm2/album/images/104/26/401/10426401_20200824121751_500.jpg?07cbb37cdec4af616ec8fd713b3bf225/melon/resize/282/quality/80/optimize,Pick Me,Wafia,Good Things,POP,2020.08.21,"I've always adored ya
But you like me better backed up
in the corner
I don't wanna go there
But every time we fight it feels
like keeping my head over water
You're talking to me
like you got any power
I don't wanna go there
You make ultimatums
Don't you understand
All that's gonna happen
If you go to force my hand
I pick me
Every day every night
every single week
I pick me
When you're holding me down
I'll get up and leave
I pick me
Who I am and who I'm gonna be
I pick me
I don't need an owner
Can't you just support me
the way that you're supposed to
Every time you push me
I get even colder
You make ultimatums
Don't you understand
All that's gonna happen
If you go to force my hand
I pick me
Every day every night
every single week
I pick me
When you're holding me down
I'll get up and leave
I pick me
Who I am and who I'm gonna be
I pick me
I pick me
I pick me
Every day every night
every single week
I pick me
When you're holding me down
I'll get up and leave
I pick me
Who I am and who I'm gonna be
I pick me
You make it easy
I'll always pick me
You make it easy
You make it easy
I'll always pick me
You make it easy
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/103/94/348/10394348_20200312180534_500.jpg?058a1952740e78844e7189fecafeee0b/melon/resize/282/quality/80/optimize,"The Other Side (영화 ""트롤: 월드 투어"" OST)","SZA, Justin Timberlake",TROLLS World Tour (Original Motion Picture Soundtrack) (영화 [트롤: 월드 투어] OST),"POP, 애니메이션/웹툰",2020.03.13,"You're preachin’ to the choir
stop hatin' on yourself
Quit playin' with your mind
you’re spinnin'
If you think that I'm a liar
just try it for yourself
The clouds will open up
blue skies are willing
Yeah I know it's so hard
to throw away
The clouds will open up
blue skies are willing
Back on your feet again
lift your head hold it high
You wanna run it back
but you can't turn the time
You start to feel like
you're losing your shine
But the grass ain't always
greener on the other side
Other side got you stuck
in your mind
You start to feel like
you're losing your shine
But the grass ain’t always
greener on the other side
Hey you stop stressin’
'bout what you’re missin'
So blue just take it easy
take your time
If you think my words are wise
just try it for yourself
I promise the stars will
light the path you walk
Don't give in
Got a heart of gold
what a shame to go to waste
The clouds will open up
blue skies are willing
Back on your feet again
lift your head hold it high
You wanna run it back
but you can't turn the time
You start to feel like
you’re losing your shine
Losing your shine shine
But the grass ain't always
greener on the other side
Other side
Feet again lift your head
hold it high
Got you stuck in your mind
Run it back but you
can't turn the time
You start to feel like
you're losing your shine
But the grass ain't always
greener on the other side
Just take it from me you'll be okay
You'll be okay
'Cause it don't matter
how sweet it taste
How sweet it taste
The grass ain't green don't worry
Losin' sleep still wanna get
Yeah you get
Back on your feet again
lift your head hold it high
You wanna run it back
but you can't turn the time
You start to feel like
you're losing your shine
But the grass ain't always
greener on the other side
You start to feel like
you're losing your shine
But the grass ain't always
greener on the other side
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/103/88/480/10388480_20200214140534_500.jpg?e13e1a5b7ab03d1a5f64ea39b6d8ea02/melon/resize/282/quality/80/optimize,Running Over (Feat. Lil Dicky),Justin Bieber,Changes,POP,2020.02.14,"From the beginning it was ending
We were emotionally pending
Jeopardy second guessing
Got all the questions
to my answers
Keep runnin' over me
with your lovin'
I'm only right here
for your consumption
Keep runnin' over me
with your lovin'
Lookin' like it's turnin'
into something
Wednesday
It feel like a Tuesday
when you met me
I remember it
like it was yesterday
You just said Hello
I lost my sanity
Thought you was lookin' through me
Then you made me laugh
with personality
When you said goodbye
that was a tragedy
Had to get a lesson in anatomy
You just ran me over
Look out watch out
got me on the defense
Thought love at first sight was
just a false pretense
Took my hat off
made me pledge allegiance
Everything was in divine sequence
Keep runnin' over me
with your lovin'
I'm only right here
for your consumption
Keep runnin' over me
with your lovin'
Lookin' like it's turnin'
into something
Better that than turnin'
into nothing
Wee-ooh wee-ooh ooh
Ain't no interruptin'
this eruption
Wee-ooh wee-ooh ooh
LD uh
I believe in love girl
you got my hopes all up
When I left you when I met you
I called my mans all about it
I got all up on your IG
and was scrollin' down for hours
I got back to 2015
and you started lookin' young
so I stopped Ooh
Post intercourse
when you walk by
Ass ass ass
More buns than a Shop Rite
They wanna sleep on my crib
let me go and get you
a soft t-shirt
here Soft tee
What are our kids gonna be like
Hmm
What is your skin routine like
Girl just roll around bed with me
I'll flirt with you all cleverly
I'll lock you down Pat Beverley
I'll kiss your breast
so tenderly
what's up Breast
How you so high and cute How
I wanna make up
a language up with you
You're already drivin' me crazy
so just
Keep runnin' over me
with your lovin'
I'm only right here
for your consumption
Keep runnin' over me
with your lovin'
Lookin' like it's turnin'
into something
Better that than turnin'
into nothing
Wee-ooh wee-ooh ooh
Ain't no interruptin'
this eruption
Wee-ooh wee-ooh ooh
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/106/11/562/10611562_20210520150838_500.jpg?d5008efad5551121c81099ae94c18b45/melon/resize/282/quality/80/optimize,Every Second,Mina Okabe,Every Second,POP,2021.05.21,"Every second
Every day
I spend hoping we never change
Love when you
Never wait
Or hesitate
To tell me what is on your mind
Really do
Enjoy your company
I think you would agree
Just where you'd rather be
Is right here with me
Make my day
In every way
Know I'll be ok
when you are around
I just want to stop
Worrying bout what could come
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind
we would make it far
Now I fear a change
Want time to stop
Waiting for an argument
Inevitable
but don't know how bad
The smallest things will
get to you
Hoping we won't be
a thing of the past
But where we are today
Is where I want to stay
Leave worries far away
When you're here with me
I should just enjoy this time
In case we end up
leaving all this behind
I just need to stop
Worrying 'bout what could come
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind
we would make it far
Now I fear a change
Want time to stop
Yeah I'm always with you
I wanna remember
this moment in time
Though I'm always with you
I wanna remember
If we leave this behind
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind
we would make it far
Now I fear a change
Want time to stop
I really like it here in your arms
Thinking this is where I belong
I had no doubt in my mind
we would make it far
Now I fear a change
Want time to stop
Yeah I'm always with you
I wanna remember
this moment in time
Though I'm always with you
I wanna remember
If we leave this behind
Yeah I'm always with you
I wanna remember
this moment in time
Though I'm always with you
I wanna remember
If we leave this behind
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/104/49/275/10449275_20200623183358_500.jpg?413abbb4f7f32e9c6a02c5cca47209af/melon/resize/282/quality/80/optimize,Morning,Joel Blackmon,Morning,POP,2020.06.17,"Yeah yeah yeah yeah
Make it six one five
Six one five
'til the morning yeah
Would you stay
until the morning Yeah
When the sunset turns around
Girl your movements
Can bring me to the ground
Shouldn't leave without a warning
Yeah yeah yeah yeah
Now you're in my head
Thoughts drive me crazy
I was thinking
we could just be lazy
When you stay
Saw you back in Panama
When I came through
You'll be all on my back
while I'm over
You don't ever miss a call
You smell like roses n' peaches
By white sandy beaches
That's true
I been tryna get my mind straight
When you're around
I keep my phone on vibrate
I'm in love
with all your mind games
I'm in love
with all your mind mind mind
But this time
Would you stay
until the morning Yeah
When the sunset turns around
Girl your movements
Can bring me to the ground
they can bring me down
Shouldn't leave without a warning
Yeah yeah yeah yeah
Now you're in my head
Thoughts drive me crazy
I was thinking
we could just be lazy
When you stay
And I'm like
Da da dum da da dum
No I can't get enough
of your love uh-uh
Da da dum da da dum
No I can't get enough
of your love
I met you back in music city
I met you back in Music City
yeah
You sang a different melody
Just a little bit crazy yeah
But I like it like that
I want you right back
I want you right
I been tryna get my mind straight
When you're around
I keep my phone on vibrate
I'm in love
with all your mind games
I'm in love
with all your mind mind mind
But this time
Would you stay
until the morning Yeah
When the sunset turns around
Girl your movements
Can bring me to the ground
they can bring me down
Shouldn't leave without a warning
Yeah yeah yeah yeah
Now you're in my head
Thoughts drive me crazy
I was thinking
we could just be lazy
When you stay
And I'm like
Da da dum da da dum
No I can't get enough
of your love oh oh
Da da dum da da dum
No I can't get enough
of your love
Da da dum da da dum
Get enough of your love
Da da dum da da dum
Get enough of your love
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/105/46/442/10546442_20210112202059_500.jpg?14633ef5779ddcad3de43b329a26e837/melon/resize/282/quality/80/optimize,Excuses,Audrey Mika,Excuses,POP,2021.01.15,"When you ask where I've been
I said I'm just sleepin' in yeah
'Cause I just wanted to talk to you
Didn't know where to begin
Sorry one sec
'Cause you wanna know
what I'm thinkin'
But I don't really know
what I'm sayin'
With you no
I don't have to fake it
Don't wanna mess this up
don't wanna open up
All my excuses are useless
you see right through
Why do I do this
I'm new to this deja vu
I'd open up but I don't trust
yeah I want to
Cut the excuses
'cause the truth is
Cut the excu
Na na na na na na na
Cut the excuses
Na na na na na na na
Cut the excu
Na na na na na na na
Ooh
I'm always shuttin' you out yeah
Each time
you're comin' around Sorry
'Cause every time I get close
Somebody's lettin' me down
Oh I don't like that
Maybe I should've mentioned
That I have never done this before
I only have good intentions
Don't wanna mess this up
I wanna open up
All my excuses are useless
you see right through
Why do I do this
I'm new to this deja vu
I'd open up but I don't trust
yeah I want to
Cut the excuses
'cause the truth is
Cut the excu
Na na na na na na na
Cut the excuses
Na na na na na na na
Cut the excu
Na na na na na na na
Ooh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
All my excuses
Deja vu
I'd open up but I I want to
Cut the excuses
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/104/31/513/10431513_20200518114003_500.jpg?c231ac48151c85cce5f57fc6f753bf31/melon/resize/282/quality/80/optimize,No Coffee,Chris James,No Coffee,POP,2020.05.11,"I don't wonna waste no time
When I think about us
No more waiting for the moment
No more waiting for the moment
Ever since you walked in I
Reconnected my focus
I laid all my pages open
Don’t need no coffee in the morning
Don't need no sleeping pills at night
My problems seem so unimportant
When I'm with you I’ll be alright
When I'm with you I’ll be alright
When i'm with you
No coffee baby
No coffee baby
No coffee baby
No coffee baby
I learn my lesson
when I rushed it last time
Did I
Hold her too close and blurred
what's is hers and what's mine
Now
I promise this is different
and I will try
To just shut up and enjoy the ride
Don't need no coffee in the morning
Don't need no sleeping pills at night
My problems seem so unimportant
When I'm with you I'll be alright
When I’m with you I’ll be alright
When I'm with you
No coffee baby
No coffee baby
No coffee baby
No coffee baby
When I’m with you I'll be alright
When I'm with you I'll be alright
When I’m with you I'll be alright
When I'm with you I'll be alright
Take
Take it all tonight
Take it all tonight baby
You've been driving me crazy
Take
Take it all tonight
Take it all tonight baby
You've been driving me crazy
Take
Take it all tonight
Take it all tonight baby
You've been driving me crazy
Don't need no coffee in the morning
Don't need no coffee in the morning
Don't need no sleeping pills at night
Don't need no sleeping pills at night
My problems seem so unimportant
My problems seem so unimportant
When I'm with you I'll be alright
When I'm with you I'll be alright
When I'm with you
When I'm with you I'll be alright
No coffee baby
When I'm with you I'll be alright
No coffee baby
When I'm with you I'll be alright
No coffee baby
When I'm with you I'll be alright
No coffee baby
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/104/45/094/10445094_20200616111955_500.jpg?b8d7663f48db56bd8af97187dadbea43/melon/resize/282/quality/80/optimize,I Jusswon,Anthony Russo,Times Gone By,R&B/Soul,2020.06.17,"Girl I got nothing to lose
It's either you or I go home
You made it easy to choose
Been waiting for you for so long
Especially when you drive it
on the floor
I can hold you down just let me know
I just need to see a little more
So don't hide it don't hide it
Something 'bout the way that
you move so sexy
Hands up on your waist
in the two door flexin'
I do it if it feels right
baby girl it feels like
Baby girl it feels like
I just won I just won
I just won I just won
I just won I just won
I do it if it feels right
baby I got nothing to lose
You know me better than most people
So I'ma hold on to you na-na
And just let go of my ego
So tell me if you need a little more
I can hold you down
just let me know
Baby all I wanna do is show you
So don't hide it don't hide it
Something 'bout the way that
you move so sexy
Hands up on your waist
in the two door flexin'
I do it if it feels right
baby girl it feels like
Baby it feels like
I just won I just won
I just won I just won
I just won I just won
I do it if it feels right
baby girl it feels like
I just won I just won
I just won I just won
I just won I just won
I do it if it feels right
baby girl it feels like
Something 'bout the way that
you move so sexy
Hands up on your waist
in the two door flexin'
I do it if it feels right
baby girl it feels like
Baby girl it feels like
Baby girl it feels like
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/104/65/723/10465723_20210610120439_500.jpg?4e8dd0e2c1e8c16614d3d7806ce0842d/melon/resize/282/quality/80/optimize,supercuts,Jeremy Zucker,supercuts,POP,2020.07.24,"I thought
I would be good by now
I'd have it figured all out
We skipped the scenic route
And oh well
At least I never lied
Still I'm always the bad guy
So much for being nice
'Cause I don't wanna be someone
who makes you happy
Then lets you down
we'll both feel crappy
I'll hate your friends
when this shit ends
Well alright
And I don't wanna make
your mama cry at dinner
And see her at the mall next winter
At Supercuts she hates my guts
Well alright
But I don't
Don't need a hand to hold
Don't need you to console me
It's honestly getting old
Well I've thought
There's so many places we could go
Well maybe I'm better off at home
Maybe I'm better on my own
'Cause I don't wanna be
someone who makes you happy
Then lets you down
we'll both feel crappy
I'll hate your friends
when this shit ends
Well alright
And I don't wanna
make your mama cry at dinner
And see her at the mall next winter
At Supercuts she hates my guts
Well alright
Found me drowning
in this bullshit again
Started something
that we're just gonna end
Wonder if we will be
better as friends
But we won't
'Cause I don't wanna be
someone who makes you happy
Then lets you down
we'll both feel crappy
I'll hate your friends
when this shit ends
Well alright
And I don't wanna
make your mama cry at dinner
And see her at the mall next winter
At Supercuts she hates my guts
Well alright
펼치기"
https://cdnimg.melon.co.kr/cm2/album/images/110/06/568/11006568_20220718110728_500.jpg?3fddefc038400c08d018ef5271955199/melon/resize/282/quality/80/optimize,Something bout That Feeling,Devin Kennedy,"You & Me, That's Enough - EP",POP,2019.10.04,"When it feels like I've been
fading to the background
Don't leave my room for like a week,
don't wanna go out
But all these moments keep me
reminding me of just how
Just how you can't have
the high's without the letdowns
I overcomplicate
I underestimate
How easy it is to live like this
Feel better if I take my time
Just a second and I'll be alright
I know that there's a love
that's gonna find me
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
Outside, the rain's done dancing
with the storm clouds
But inside, there's not a dry eye
in this whole house
And it ain't sadness why these
tears keep falling down now
I know I'm not alone,
I just get caught up in myself
I overcomplicate
I underestimate
I know that there's a love
that's gonna find me
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
There's something 'bout that feeling
펼치기"
